region_code,region_name,year,value,gender,nationality,age_group,notes
05112,Duisburg,1995,6243.0000,total,total,,
05112,Duisburg,1996,5772.0000,total,total,,
05112,Duisburg,1997,5233.0000,total,total,,
05112,Duisburg,1998,5138.0000,total,total,,
05112,Duisburg,1999,5000.0000,total,total,,
05112,Duisburg,2000,4665.0000,total,total,,
05112,Duisburg,2001,4094.0000,total,total,,
05112,Duisburg,2002,3962.0000,total,total,,
05112,Duisburg,2003,3450.0000,total,total,,
05112,Duisburg,2004,2911.0000,total,total,,
05112,Duisburg,2005,2687.0000,total,total,,
05112,Duisburg,2006,2661.0000,total,total,,
05112,Duisburg,2007,2369.0000,total,total,,
05112,Duisburg,2008,2280.0000,total,total,,
05112,Duisburg,2009,2545.0000,total,total,,
05112,Duisburg,2010,2453.0000,total,total,,
05112,Duisburg,2011,2590.0000,total,total,,
05112,Duisburg,2012,2452.0000,total,total,,
05112,Duisburg,2013,2525.0000,total,total,,
05112,Duisburg,2014,2678.0000,total,total,,
05112,Duisburg,2015,2640.0000,total,total,,
05112,Duisburg,2016,2426.0000,total,total,,
05112,Duisburg,2017,2526.0000,total,total,,
05112,Duisburg,2018,2630.0000,total,total,,
05112,Duisburg,2019,2887.0000,total,total,,
05112,Duisburg,2020,2984.0000,total,total,,
05112,Duisburg,2021,3276.0000,total,total,,
05112,Duisburg,2022,3422.0000,total,total,,
05112,Duisburg,2023,3271.0000,total,total,,
05112,Duisburg,2024,3345.0000,total,total,,
05113,Essen,1995,8369.0000,total,total,,
05113,Essen,1996,8443.0000,total,total,,
05113,Essen,1997,8344.0000,total,total,,
05113,Essen,1998,8033.0000,total,total,,
05113,Essen,1999,6539.0000,total,total,,
05113,Essen,2000,5937.0000,total,total,,
05113,Essen,2001,5599.0000,total,total,,
05113,Essen,2002,5545.0000,total,total,,
05113,Essen,2003,4935.0000,total,total,,
05113,Essen,2004,4864.0000,total,total,,
05113,Essen,2005,4219.0000,total,total,,
05113,Essen,2006,4136.0000,total,total,,
05113,Essen,2007,3951.0000,total,total,,
05113,Essen,2008,3734.0000,total,total,,
05113,Essen,2009,3815.0000,total,total,,
05113,Essen,2010,3655.0000,total,total,,
05113,Essen,2011,3980.0000,total,total,,
05113,Essen,2012,3787.0000,total,total,,
05113,Essen,2013,3896.0000,total,total,,
05113,Essen,2014,3297.0000,total,total,,
05113,Essen,2015,3486.0000,total,total,,
05113,Essen,2016,3210.0000,total,total,,
05113,Essen,2017,3468.0000,total,total,,
05113,Essen,2018,3518.0000,total,total,,
05113,Essen,2019,3588.0000,total,total,,
05113,Essen,2020,4111.0000,total,total,,
05113,Essen,2021,4264.0000,total,total,,
05113,Essen,2022,4295.0000,total,total,,
05113,Essen,2023,3808.0000,total,total,,
05113,Essen,2024,3715.0000,total,total,,
05513,Münster,1995,2302.0000,total,total,,
05513,Münster,1996,2174.0000,total,total,,
05513,Münster,1997,2297.0000,total,total,,
05513,Münster,1998,1947.0000,total,total,,
05513,Münster,1999,1623.0000,total,total,,
05513,Münster,2000,1964.0000,total,total,,
05513,Münster,2001,1795.0000,total,total,,
05513,Münster,2002,1634.0000,total,total,,
05513,Münster,2003,1174.0000,total,total,,
05513,Münster,2004,1290.0000,total,total,,
05513,Münster,2005,1239.0000,total,total,,
05513,Münster,2006,1083.0000,total,total,,
05513,Münster,2007,1123.0000,total,total,,
05513,Münster,2008,1437.0000,total,total,,
05513,Münster,2009,1394.0000,total,total,,
05513,Münster,2010,1374.0000,total,total,,
05513,Münster,2011,1642.0000,total,total,,
05513,Münster,2012,1575.0000,total,total,,
05513,Münster,2013,1580.0000,total,total,,
05513,Münster,2014,1479.0000,total,total,,
05513,Münster,2015,1432.0000,total,total,,
05513,Münster,2016,1489.0000,total,total,,
05513,Münster,2017,1636.0000,total,total,,
05513,Münster,2018,1644.0000,total,total,,
05513,Münster,2019,1546.0000,total,total,,
05513,Münster,2020,1652.0000,total,total,,
05513,Münster,2021,1648.0000,total,total,,
05513,Münster,2022,1709.0000,total,total,,
05513,Münster,2023,1820.0000,total,total,,
05513,Münster,2024,1961.0000,total,total,,
05911,Bochum,1995,3233.0000,total,total,,
05911,Bochum,1996,3174.0000,total,total,,
05911,Bochum,1997,3130.0000,total,total,,
05911,Bochum,1998,2701.0000,total,total,,
05911,Bochum,1999,2444.0000,total,total,,
05911,Bochum,2000,2336.0000,total,total,,
05911,Bochum,2001,2278.0000,total,total,,
05911,Bochum,2002,2029.0000,total,total,,
05911,Bochum,2003,1969.0000,total,total,,
05911,Bochum,2004,1827.0000,total,total,,
05911,Bochum,2005,1799.0000,total,total,,
05911,Bochum,2006,1961.0000,total,total,,
05911,Bochum,2007,2016.0000,total,total,,
05911,Bochum,2008,2202.0000,total,total,,
05911,Bochum,2009,2295.0000,total,total,,
05911,Bochum,2010,2318.0000,total,total,,
05911,Bochum,2011,2181.0000,total,total,,
05911,Bochum,2012,2353.0000,total,total,,
05911,Bochum,2013,2440.0000,total,total,,
05911,Bochum,2014,2380.0000,total,total,,
05911,Bochum,2015,2325.0000,total,total,,
05911,Bochum,2016,2003.0000,total,total,,
05911,Bochum,2017,2108.0000,total,total,,
05911,Bochum,2018,2102.0000,total,total,,
05911,Bochum,2019,2263.0000,total,total,,
05911,Bochum,2020,2262.0000,total,total,,
05911,Bochum,2021,2180.0000,total,total,,
05911,Bochum,2022,2324.0000,total,total,,
05911,Bochum,2023,2338.0000,total,total,,
05911,Bochum,2024,2522.0000,total,total,,
05913,Dortmund,1995,13041.0000,total,total,,
05913,Dortmund,1996,10585.0000,total,total,,
05913,Dortmund,1997,9465.0000,total,total,,
05913,Dortmund,1998,8732.0000,total,total,,
05913,Dortmund,1999,8079.0000,total,total,,
05913,Dortmund,2000,8864.0000,total,total,,
05913,Dortmund,2001,8016.0000,total,total,,
05913,Dortmund,2002,7435.0000,total,total,,
05913,Dortmund,2003,6401.0000,total,total,,
05913,Dortmund,2004,5888.0000,total,total,,
05913,Dortmund,2005,5353.0000,total,total,,
05913,Dortmund,2006,4449.0000,total,total,,
05913,Dortmund,2007,2698.0000,total,total,,
05913,Dortmund,2008,3334.0000,total,total,,
05913,Dortmund,2009,3697.0000,total,total,,
05913,Dortmund,2010,4180.0000,total,total,,
05913,Dortmund,2011,3974.0000,total,total,,
05913,Dortmund,2012,3732.0000,total,total,,
05913,Dortmund,2013,3725.0000,total,total,,
05913,Dortmund,2014,3736.0000,total,total,,
05913,Dortmund,2015,4114.0000,total,total,,
05913,Dortmund,2016,3884.0000,total,total,,
05913,Dortmund,2017,4378.0000,total,total,,
05913,Dortmund,2018,4434.0000,total,total,,
05913,Dortmund,2019,4802.0000,total,total,,
05913,Dortmund,2020,4898.0000,total,total,,
05913,Dortmund,2021,4957.0000,total,total,,
05913,Dortmund,2022,5127.0000,total,total,,
05913,Dortmund,2023,4969.0000,total,total,,
05913,Dortmund,2024,5135.0000,total,total,,
